session_id,session_number,threshold,density, avg_clst,                   avg_deg, topo r2, diameter, num_clq, max_clq_size, max_load_cent,                   str connected comps, degdist r2 
3808535,1,92.5,0.0780,0.3078,3,0.0639,0,41,4,0.40512820512820513,3,0.4681491661898467
1793622,1,92.5,0.1376,0.2961,4,0.6215,0,31,7,0.12005108556832696,3,0.7091754902844016
4176156,2,92.5,0.1109,0.2845,3,0.2805,0,35,5,0.26527715884333525,3,0.5605612703536142
4288245,2,92.5,0.1852,0.4134,5,0.4005,0,28,8,0.02872744539411206,3,0.7707889397167285
9630905,1,92.5,0.1563,0.3790,4,0.2434,0,30,7,0.08112684729064039,2,0.6056300832260653
0021006,2,92.5,0.2308,0.4720,5,0.5377,0,26,9,0.0025396825396825397,2,0.6107496215598465
1793622,2,92.5,0.1123,0.2438,3,0.5448,0,34,6,0.29797979797979796,2,0.5562902266968205
2475376,2,92.5,0.1364,0.3013,4,0.3247,7,33,7,0.44334677419354834,1,0.6288740515463376
0021001,1,92.5,0.0987,0.4246,4,0.1376,0,42,7,0.4082610659439925,4,0.4904993425442544
8735778,1,92.5,0.1244,0.4990,4,0.0512,0,35,7,0.17283868092691623,3,0.4709030416448309
0021002,2,92.5,0.1079,0.3945,3,0.0207,8,36,5,0.4045728291316524,1,0.527372138419772
0021024,2,92.5,0.1402,0.4891,4,0.0377,0,30,6,0.055603448275862076,2,0.25337218365201686
2842950,1,92.5,0.1161,0.4441,4,0.0519,6,39,8,0.49073020388809835,1,0.3501147442040653
2799329,1,92.5,0.1248,0.3901,4,0.2228,0,34,7,0.09431818181818187,3,0.43355879043164824
3808535,2,92.5,0.0715,0.2125,3,0.1714,10,46,5,0.6537037037037038,1,0.4522316767927247
0021024,1,92.5,0.1290,0.3601,3,0.1182,0,31,6,0.10316091954022992,2,0.3894028536666627
4176156,1,92.5,0.0984,0.2950,3,0.0848,0,36,4,0.3407563025210083,2,0.4397094924422882
3201815,2,92.5,0.1472,0.3700,4,0.4575,0,32,9,0.06097670250896059,4,0.6886989971824212
3313349,2,92.5,0.1678,0.4403,4,0.2051,0,30,8,0.19527914614121517,2,0.8244804370629799
3313349,1,92.5,0.1301,0.3594,4,0.2111,7,34,7,0.41540404040404033,1,0.6017292345659074
2842950,2,92.5,0.1161,0.4478,4,0.0315,6,39,7,0.49651493598862023,1,0.39246991804759745
8735778,2,92.5,0.1632,0.4097,4,0.2318,0,30,7,0.18048029556650252,2,0.5367636854770769
1961098,1,92.5,0.2023,0.4272,5,0.2878,0,27,7,0.07974358974358975,2,0.7235300355024732
4288245,1,92.5,0.1937,0.4311,5,0.3811,0,27,8,0.02333333333333333,3,0.6670430265454943
0021001,2,92.5,0.0841,0.4456,3,0.0022,0,41,4,0.5326923076923077,3,0.26535235802094936
0021018,2,92.5,0.1210,0.3131,4,0.2748,0,35,7,0.21332442067736185,2,0.5914934226691861
1961098,2,92.5,0.1609,0.3776,4,0.3247,0,30,7,0.05320197044334976,4,0.47083487077636177
7055197,1,95,0.1775,0.3132,4,0.5826,0,24,6,0.16756697408871318,2,0.6059506583874408
9630905,2,95,0.2579,0.4438,4,0.6829,0,20,7,0.043859649122807015,3,0.6489330060002888
3315657,2,95,0.2048,0.4471,4,0.2578,0,21,6,0.015570175438596484,3,0.5600748896695543
3201815,1,95,0.1667,0.4105,3,0.2127,0,24,6,0.061923583662714096,3,0.652518447736055
2475376,1,95,0.2078,0.4772,4,0.0727,6,22,7,0.3642857142857144,1,0.5232722414852018
7055197,2,95,0.1818,0.4517,4,0.1345,0,23,6,0.08612914862914862,3,0.5094409831467461
0021002,1,95,0.0968,0.2180,2,0.3001,0,31,4,0.12768199233716476,4,0.5161723598831681
3795193,2,95,0.1703,0.4337,3,0.1776,0,24,5,0.003513394817742643,5,0.47542546544105224
3795193,1,95,0.1084,0.2959,3,0.1203,0,29,5,0.2599206349206349,3,0.5786396476669423
0021006,1,95,0.1667,0.3712,3,0.4250,0,24,6,0.04545454545454546,3,0.5471453872662939
0021018,1,95,0.1376,0.3675,3,0.1675,0,28,6,0.09546533713200382,3,0.6764658183171378
2799329,2,95,0.1500,0.3066,3,0.5401,0,25,5,0.13330314009661834,4,0.4157016396258485
3315657,1,95,0.1630,0.4021,3,0.1640,0,24,6,0.01712779973649538,3,0.5988297285447435
3808535,1,95,0.1225,0.3641,3,0.0636,0,27,4,0.31076923076923074,2,0.441176146785639
1793622,1,95,0.2515,0.5108,4,0.2031,0,19,6,0.023556644880174293,3,0.5815275560279263
4176156,2,95,0.1594,0.3481,3,0.1705,0,24,4,0.06840140535792708,2,0.6207982997529626
4288245,2,95,0.2749,0.5341,4,0.2433,0,19,7,0.02505446623093682,3,0.7155697274759472
9630905,1,95,0.1948,0.3807,4,0.4168,0,22,7,0.01613756613756613,3,0.5384469957615305
0021006,2,95,0.2632,0.5173,5,0.3248,0,20,6,0.029239766081871354,3,0.541402840571495
1793622,2,95,0.1818,0.3163,3,0.5457,0,22,5,0.02936507936507937,2,0.5204893406171889
2475376,2,95,0.2286,0.5208,4,0.1156,0,21,7,0.1868421052631579,2,0.45136194052831524
0021001,1,95,0.1226,0.4818,3,0.0312,9,31,6,0.5527203065134099,1,0.20536368568078367
8735778,1,95,0.1296,0.3466,3,0.1961,0,28,6,0.054803735359290916,3,0.650879165523454
0021002,2,95,0.1057,0.2884,3,0.1510,0,30,4,0.10775862068965518,3,0.6314164818393009
0021024,2,95,0.1367,0.3287,3,0.1531,0,25,5,0.09329710144927539,2,0.5085381536328815
2842950,1,95,0.1508,0.3826,4,0.1185,7,28,7,0.4193732193732193,1,0.43615419512069586
2799329,1,95,0.2035,0.3792,4,0.4318,0,22,6,0.08253968253968254,3,0.5778951959645493
3808535,2,95,0.0947,0.2940,3,0.0866,0,33,4,0.37298387096774194,2,0.30878923904691324
0021024,1,95,0.1231,0.2731,3,0.3603,0,26,5,0.19041666666666668,3,0.7613361207483315
4176156,1,95,0.0943,0.1929,2,0.3087,0,30,4,0.3017241379310345,3,0.5070676843193687
3201815,2,95,0.1937,0.3775,4,0.7778,0,23,8,0.000618429189857761,4,0.6065989213758434
3313349,2,95,0.1633,0.3055,3,0.5921,0,25,6,0.08333333333333331,3,0.48983028104244986
3313349,1,95,0.1633,0.3367,3,0.4615,0,25,7,0.017663043478260868,3,0.5404926333285984
2842950,2,95,0.1404,0.3980,3,0.0768,8,29,7,0.39914021164021163,1,0.3523770671161742
8735778,2,95,0.1477,0.3400,3,0.3237,0,26,5,0.08958333333333339,3,0.5935152237711081
1961098,1,95,0.2526,0.4473,4,0.4439,0,20,6,0.025211176088369064,3,0.5183599449699081
4288245,1,95,0.2421,0.4313,4,0.6025,0,20,7,0.06432748538011696,3,0.5249996157203345
0021001,2,95,0.1057,0.4033,3,0.0092,9,30,4,0.6305418719211823,1,0.4540552988714891
0021018,2,95,0.1477,0.3342,3,0.2555,0,26,6,0.06333333333333334,3,0.6229862750990941
1961098,2,95,0.2749,0.4966,4,0.0757,4,19,5,0.010593681917211328,1,0.6207021695054243
7055197,1,97.5,0.1838,0.3880,2,0.3031,0,17,5,0.15,3,0.44348464541158916
9630905,2,97.5,0.2381,0.4730,3,0.0176,0,15,4,0.042124542124542134,2,0.4798895905861893
3315657,2,97.5,0.1833,0.3199,2,0.2172,0,16,4,0.12142857142857144,2,0.3143550047066157
3201815,1,97.5,0.2949,0.5172,3,0.1483,0,13,5,0.2683080808080808,2,0.5737819045103087
2475376,1,97.5,0.3077,0.5029,3,0.2256,0,13,5,0.06523569023569022,2,0.6779605682879122
7055197,2,97.5,0.1917,0.2768,2,0.6445,0,16,5,0.07797619047619048,3,0.39680485791802556
0021002,1,97.5,0.1691,0.3000,2,0.1075,0,17,4,0.3472222222222222,2,0.36438627423767067
3795193,2,97.5,0.3077,0.4412,3,0.0184,4,13,4,0.07575757575757576,1,0.49009557624628897
3795193,1,97.5,0.2095,0.3356,2,0.2539,0,15,4,0.18956043956043958,2,0.46426155417376824
0021006,1,97.5,0.2949,0.4088,3,0.1089,4,13,4,0.2086489898989899,1,0.5698462853935535
0021018,1,97.5,0.2476,0.4167,3,0.1522,0,15,5,0.0,2,0.5750943852337413
2799329,2,97.5,0.1917,0.3438,2,0.0732,0,16,4,0.1619047619047619,2,0.480455016009369
3315657,1,97.5,0.1917,0.4073,2,0.0613,0,16,4,0.1384920634920635,2,0.619392219125187
3808535,1,97.5,0.1158,0.3448,2,0.0005,0,20,3,0.3684210526315789,2,0.043331360440154065
1793622,1,97.5,0.4000,0.7688,4,0.6357,4,11,5,0.0638888888888889,1,-0.649623770648081
4176156,2,97.5,0.1833,0.2708,2,0.3128,0,16,4,0.0761904761904762,2,0.5455758430776265
4288245,2,97.5,0.3077,0.4447,3,0.1422,4,13,5,0.0,1,0.7198219011500442
9630905,1,97.5,0.1917,0.4500,2,0.0789,0,16,4,0.0,2,0.4765493909317784
0021006,2,97.5,0.2381,0.4496,3,0.1143,0,15,5,0.15384615384615385,2,0.6656692339137498
1793622,2,97.5,0.2000,0.4600,2,0.0304,0,15,4,0.0,2,0.6081600256718727
2475376,2,97.5,0.4364,0.6082,4,0.0462,3,11,5,0.09876543209876543,1,0.5553067972579961
0021001,1,97.5,0.1255,0.4097,2,0.1987,0,22,5,0.07936507936507936,5,0.4775280102460012
8735778,1,97.5,0.1838,0.4025,2,0.2613,0,17,5,0.07916666666666666,4,0.6625542947726772
0021002,2,97.5,0.1345,0.2123,2,0.1154,0,19,4,0.32026143790849676,2,0.6278617708525801
0021024,2,97.5,0.2692,0.4359,3,0.3515,0,13,4,0.19444444444444442,2,0.487806664946153
2842950,1,97.5,0.2132,0.4594,3,0.0414,0,17,5,0.09861111111111108,2,0.6471889381160786
2799329,1,97.5,0.2286,0.5013,3,0.0266,0,15,4,0.157967032967033,2,0.5142964551313909
3808535,2,97.5,0.1190,0.2834,2,0.0180,0,21,3,0.4052631578947368,2,0.14634357823234234
0021024,1,97.5,0.2198,0.4071,2,0.1059,0,14,3,0.28846153846153844,2,0.4078712392723125
4176156,1,97.5,0.1544,0.2160,2,0.0244,0,17,3,0.18854166666666666,2,0.39676774297841044
3201815,2,97.5,0.4545,0.6818,4,0.0067,3,11,5,0.01388888888888889,1,0.37444967856982814
3313349,2,97.5,0.3788,0.5885,4,0.0102,3,12,5,0.10757575757575757,1,0.5877034998664901
3313349,1,97.5,0.3205,0.6642,3,0.0055,3,13,5,0.17708333333333334,1,0.32594243982958204
2842950,2,97.5,0.2132,0.4979,3,0.0008,0,17,4,0.08715277777777777,2,0.42586987642364826
8735778,2,97.5,0.2000,0.3426,3,0.2822,0,16,5,0.16666666666666669,2,0.4324490545878783
1961098,1,97.5,0.3636,0.4389,4,0.0506,4,12,4,0.004545454545454545,1,0.5243559944243852
4288245,1,97.5,0.3485,0.5468,3,0.0022,4,12,4,0.06969696969696969,1,0.5155208614557809
0021001,2,97.5,0.1095,0.3238,2,0.1483,0,21,4,0.15789473684210525,3,0.1899583865771971
0021018,2,97.5,0.3077,0.4591,3,0.0451,3,13,5,0.027777777777777766,1,0.7070041674407975
1961098,2,97.5,0.2637,0.5005,3,0.0087,4,14,4,0.0,1,0.4403077626131868
